text,label
I'm so thrilled about the news. #700663,joy
I'm bursting with happiness! #624065,joy
I'm bursting with happiness! #941255,joy
This gives me chills down my spine. #683410,fear
This is the best day of my life. #2615,joy
"Unbelievable, but true! #548372",surprise
This makes my blood boil. #172500,anger
My heart aches with sorrow. #47423,sadness
How could they do this to me? #873703,anger
This gives me chills down my spine. #616149,fear
I did not see that coming! #535386,surprise
I'm bursting with happiness! #466189,joy
I did not see that coming! #16862,surprise
"Unbelievable, but true! #869569",surprise
That was utterly revolting. #411921,disgust
I'm disgusted by what I saw. #201665,disgust
This makes my blood boil. #811529,anger
I'm terrified of what might happen. #862883,fear
I'm so furious about the situation. #112644,anger
Tears keep falling from my eyes. #975020,sadness
I did not see that coming! #462540,surprise
I’m shocked and amazed! #397043,surprise
I'm so furious about the situation. #993995,anger
I'm bursting with happiness! #850293,joy
I feel empty inside. #628969,sadness
What a pleasant surprise! #562240,surprise
What a pleasant surprise! #150724,surprise
I feel sick just thinking about it. #493352,disgust
This is the best day of my life. #188676,joy
I'm so scared right now. #176898,fear
I'm bursting with happiness! #16051,joy
I'm so furious about the situation. #241244,anger
I'm terrified of what might happen. #187449,fear
I did not see that coming! #704772,surprise
I'm terrified of what might happen. #67881,fear
I miss the good times we had. #326060,sadness
I did not see that coming! #185139,surprise
I'm bursting with happiness! #459886,joy
I'm so furious about the situation. #39182,anger
How could they do this to me? #628504,anger
That was utterly revolting. #692961,disgust
I miss the good times we had. #835087,sadness
Nothing seems to matter anymore. #252149,sadness
That totally caught me off guard. #608441,surprise
This gives me chills down my spine. #240863,fear
Tears keep falling from my eyes. #637204,sadness
I’m shocked and amazed! #90485,surprise
I’m shocked and amazed! #177242,surprise
"Unbelievable, but true! #645458",surprise
I can't stop smiling. #585426,joy
I did not see that coming! #911463,surprise
I did not see that coming! #297329,surprise
I feel sick just thinking about it. #489792,disgust
I'm bursting with happiness! #631333,joy
I feel sick just thinking about it. #406980,disgust
I'm so scared right now. #677450,fear
This is the best day of my life. #923452,joy
I can't stop smiling. #115080,joy
This is the best day of my life. #434450,joy
Life is beautiful and I'm enjoying every moment. #899621,joy
Nothing seems to matter anymore. #515784,sadness
Tears keep falling from my eyes. #519430,sadness
Nothing seems to matter anymore. #870575,sadness
I miss the good times we had. #79022,sadness
I'm so scared right now. #122323,fear
I can't stop smiling. #798909,joy
This gives me chills down my spine. #904694,fear
I'm bursting with happiness! #172399,joy
I'm so thrilled about the news. #320179,joy
That was utterly revolting. #663518,disgust
Nothing seems to matter anymore. #595973,sadness
I'm terrified of what might happen. #408679,fear
It's incredibly disturbing. #598823,disgust
I'm bursting with happiness! #135194,joy
I feel sick just thinking about it. #911573,disgust
I did not see that coming! #833756,surprise
Tears keep falling from my eyes. #959467,sadness
It's incredibly disturbing. #598428,disgust
This gives me chills down my spine. #544780,fear
This is the best day of my life. #311019,joy
This is the best day of my life. #922739,joy
"Unbelievable, but true! #262261",surprise
Tears keep falling from my eyes. #519928,sadness
How could they do this to me? #724823,anger
I'm terrified of what might happen. #46999,fear
I did not see that coming! #894868,surprise
That totally caught me off guard. #831374,surprise
This makes my blood boil. #367540,anger
That totally caught me off guard. #266493,surprise
How could they do this to me? #573287,anger
I'm so thrilled about the news. #723062,joy
What a pleasant surprise! #626642,surprise
This gives me chills down my spine. #870930,fear
This gives me chills down my spine. #310942,fear
Life is beautiful and I'm enjoying every moment. #555743,joy
What a pleasant surprise! #164186,surprise
How could they do this to me? #74623,anger
I can't stop smiling. #422952,joy
I'm bursting with happiness! #357460,joy
I'm so furious about the situation. #49202,anger
I'm so scared right now. #113915,fear
I'm bursting with happiness! #10293,joy
I can't stop smiling. #786874,joy
This makes my blood boil. #664876,anger
I feel empty inside. #260830,sadness
I can't sleep because of the fear. #921200,fear
I can't stop smiling. #836264,joy
I'm so scared right now. #952632,fear
Life is beautiful and I'm enjoying every moment. #662945,joy
I'm so furious about the situation. #321906,anger
I'm so furious about the situation. #232115,anger
I'm so thrilled about the news. #68781,joy
This makes my blood boil. #628165,anger
This makes my blood boil. #46243,anger
What a pleasant surprise! #705737,surprise
I can't believe this happened! #835826,anger
I feel sick just thinking about it. #392441,disgust
I can't stop smiling. #408918,joy
I did not see that coming! #160031,surprise
Every little sound makes me jump. #66671,fear
I can't sleep because of the fear. #748035,fear
I did not see that coming! #523217,surprise
I can't sleep because of the fear. #141652,fear
This gives me chills down my spine. #703949,fear
I feel sick just thinking about it. #149961,disgust
This makes my blood boil. #586449,anger
"Unbelievable, but true! #617713",surprise
This is the best day of my life. #405263,joy
It's incredibly disturbing. #985053,disgust
I can't believe this happened! #845172,anger
What a pleasant surprise! #802138,surprise
Tears keep falling from my eyes. #221610,sadness
I'm disgusted by what I saw. #622777,disgust
I'm so thrilled about the news. #739806,joy
That totally caught me off guard. #516878,surprise
Nothing seems to matter anymore. #706134,sadness
Every little sound makes me jump. #643283,fear
I'm bursting with happiness! #118332,joy
It's incredibly disturbing. #917455,disgust
Tears keep falling from my eyes. #270174,sadness
I'm disgusted by what I saw. #28714,disgust
I'm so furious about the situation. #908065,anger
Life is beautiful and I'm enjoying every moment. #335986,joy
What a pleasant surprise! #812007,surprise
I'm so thrilled about the news. #326900,joy
I can't believe this happened! #136470,anger
I feel sick just thinking about it. #717108,disgust
This is the best day of my life. #679192,joy
Nothing seems to matter anymore. #475967,sadness
This gives me chills down my spine. #986137,fear
This is absolutely infuriating! #48548,anger
That totally caught me off guard. #967643,surprise
This is so gross I can't handle it. #447937,disgust
I’m shocked and amazed! #65587,surprise
I can't stop smiling. #260707,joy
I'm terrified of what might happen. #873041,fear
Tears keep falling from my eyes. #774985,sadness
What a pleasant surprise! #166731,surprise
I feel empty inside. #878260,sadness
How could they do this to me? #185436,anger
What a pleasant surprise! #638223,surprise
I'm so furious about the situation. #152242,anger
This is so gross I can't handle it. #939005,disgust
This is absolutely infuriating! #379538,anger
I'm so furious about the situation. #613863,anger
I did not see that coming! #189729,surprise
Every little sound makes me jump. #116114,fear
This is absolutely infuriating! #351379,anger
My heart aches with sorrow. #184968,sadness
This is so gross I can't handle it. #270889,disgust
I can't stop smiling. #31342,joy
This is so gross I can't handle it. #157454,disgust
I'm so furious about the situation. #355029,anger
This is so gross I can't handle it. #349690,disgust
I can't stop smiling. #128847,joy
I'm so scared right now. #745023,fear
It's incredibly disturbing. #963335,disgust
I feel sick just thinking about it. #906154,disgust
This gives me chills down my spine. #214502,fear
This is so gross I can't handle it. #392583,disgust
This is so gross I can't handle it. #519952,disgust
How could they do this to me? #755435,anger
Life is beautiful and I'm enjoying every moment. #247371,joy
It's incredibly disturbing. #233523,disgust
I feel sick just thinking about it. #410721,disgust
I'm so furious about the situation. #769981,anger
I can't believe this happened! #168811,anger
Every little sound makes me jump. #448627,fear
My heart aches with sorrow. #404365,sadness
Every little sound makes me jump. #281301,fear
I'm so furious about the situation. #631124,anger
I'm so thrilled about the news. #529758,joy
What a pleasant surprise! #23631,surprise
It's incredibly disturbing. #562193,disgust
"Unbelievable, but true! #35847",surprise
Life is beautiful and I'm enjoying every moment. #890395,joy
This is absolutely infuriating! #960232,anger
This makes my blood boil. #952356,anger
Nothing seems to matter anymore. #865053,sadness
Tears keep falling from my eyes. #266050,sadness
I feel empty inside. #171362,sadness
Nothing seems to matter anymore. #487755,sadness
I'm so thrilled about the news. #958289,joy
This is so gross I can't handle it. #746578,disgust
I can't sleep because of the fear. #87071,fear
I'm bursting with happiness! #468269,joy
It's incredibly disturbing. #529997,disgust
How could they do this to me? #704502,anger
My heart aches with sorrow. #674573,sadness
I'm so furious about the situation. #621684,anger
I'm terrified of what might happen. #814322,fear
This is so gross I can't handle it. #903234,disgust
I did not see that coming! #799954,surprise
I can't sleep because of the fear. #720546,fear
I feel sick just thinking about it. #65992,disgust
This is so gross I can't handle it. #280174,disgust
I'm terrified of what might happen. #57324,fear
Every little sound makes me jump. #832221,fear
It's incredibly disturbing. #168620,disgust
I feel empty inside. #454044,sadness
It's incredibly disturbing. #188321,disgust
How could they do this to me? #408218,anger
I feel sick just thinking about it. #41106,disgust
Tears keep falling from my eyes. #778808,sadness
I feel sick just thinking about it. #672695,disgust
That totally caught me off guard. #630070,surprise
Tears keep falling from my eyes. #52012,sadness
Every little sound makes me jump. #930228,fear
I miss the good times we had. #469709,sadness
I'm so scared right now. #240614,fear
That was utterly revolting. #463827,disgust
I'm bursting with happiness! #841077,joy
Life is beautiful and I'm enjoying every moment. #507620,joy
I’m shocked and amazed! #827728,surprise
I feel sick just thinking about it. #893521,disgust
Every little sound makes me jump. #942557,fear
I’m shocked and amazed! #93826,surprise
I feel sick just thinking about it. #813605,disgust
What a pleasant surprise! #144169,surprise
My heart aches with sorrow. #673636,sadness
Every little sound makes me jump. #252216,fear
I'm so scared right now. #287024,fear
Tears keep falling from my eyes. #397833,sadness
This is so gross I can't handle it. #371748,disgust
It's incredibly disturbing. #928923,disgust
Nothing seems to matter anymore. #78400,sadness
It's incredibly disturbing. #687628,disgust
This makes my blood boil. #614996,anger
How could they do this to me? #823459,anger
That totally caught me off guard. #155971,surprise
I'm bursting with happiness! #776508,joy
I’m shocked and amazed! #154306,surprise
That was utterly revolting. #519363,disgust
I did not see that coming! #19389,surprise
I'm bursting with happiness! #391666,joy
Nothing seems to matter anymore. #6217,sadness
Every little sound makes me jump. #262149,fear
I'm bursting with happiness! #663708,joy
Life is beautiful and I'm enjoying every moment. #516501,joy
I feel empty inside. #896882,sadness
I'm so thrilled about the news. #499533,joy
I'm so thrilled about the news. #136509,joy
This is so gross I can't handle it. #504556,disgust
I'm so thrilled about the news. #478944,joy
I'm so thrilled about the news. #812583,joy
I'm terrified of what might happen. #285741,fear
This gives me chills down my spine. #502796,fear
This is absolutely infuriating! #488703,anger
This is absolutely infuriating! #144498,anger
I can't sleep because of the fear. #548009,fear
This makes my blood boil. #456371,anger
I did not see that coming! #922491,surprise
This is absolutely infuriating! #915749,anger
That was utterly revolting. #734378,disgust
How could they do this to me? #806657,anger
This makes my blood boil. #66628,anger
Tears keep falling from my eyes. #955229,sadness
I can't believe this happened! #284543,anger
My heart aches with sorrow. #817023,sadness
I'm so thrilled about the news. #673596,joy
I'm so furious about the situation. #352689,anger
What a pleasant surprise! #317589,surprise
Every little sound makes me jump. #268206,fear
What a pleasant surprise! #67163,surprise
It's incredibly disturbing. #534813,disgust
I’m shocked and amazed! #959836,surprise
I’m shocked and amazed! #107408,surprise
My heart aches with sorrow. #182729,sadness
I can't stop smiling. #133160,joy
That was utterly revolting. #254537,disgust
Nothing seems to matter anymore. #865662,sadness
I feel empty inside. #584951,sadness
I can't sleep because of the fear. #229187,fear
This gives me chills down my spine. #722543,fear
This is absolutely infuriating! #571563,anger
I’m shocked and amazed! #907968,surprise
Every little sound makes me jump. #280450,fear
Every little sound makes me jump. #491054,fear
How could they do this to me? #4389,anger
I'm so scared right now. #764100,fear
I did not see that coming! #852924,surprise
What a pleasant surprise! #762195,surprise
That was utterly revolting. #652479,disgust
This makes my blood boil. #666665,anger
"Unbelievable, but true! #86620",surprise
It's incredibly disturbing. #162384,disgust
I'm bursting with happiness! #852820,joy
I'm bursting with happiness! #312681,joy
Nothing seems to matter anymore. #27124,sadness
I’m shocked and amazed! #472823,surprise
I did not see that coming! #481904,surprise
This makes my blood boil. #366655,anger
My heart aches with sorrow. #918490,sadness
I feel empty inside. #245615,sadness
This is so gross I can't handle it. #629276,disgust
This gives me chills down my spine. #299534,fear
That totally caught me off guard. #738645,surprise
That was utterly revolting. #715012,disgust
I'm so thrilled about the news. #294214,joy
I'm disgusted by what I saw. #490157,disgust
That totally caught me off guard. #565512,surprise
I can't sleep because of the fear. #550031,fear
This makes my blood boil. #812364,anger
I'm disgusted by what I saw. #570977,disgust
This is the best day of my life. #311966,joy
This is so gross I can't handle it. #992191,disgust
Nothing seems to matter anymore. #804221,sadness
I did not see that coming! #683554,surprise
I'm disgusted by what I saw. #305797,disgust
I can't sleep because of the fear. #272544,fear
I can't sleep because of the fear. #424774,fear
I'm so furious about the situation. #771350,anger
This gives me chills down my spine. #488330,fear
I can't stop smiling. #194981,joy
That was utterly revolting. #224907,disgust
"Unbelievable, but true! #115669",surprise
This makes my blood boil. #654518,anger
I feel empty inside. #971325,sadness
How could they do this to me? #865449,anger
It's incredibly disturbing. #430227,disgust
I'm bursting with happiness! #603116,joy
What a pleasant surprise! #690438,surprise
I can't sleep because of the fear. #54118,fear
This gives me chills down my spine. #552849,fear
I'm so thrilled about the news. #832886,joy
It's incredibly disturbing. #162272,disgust
This is absolutely infuriating! #712761,anger
This is so gross I can't handle it. #631157,disgust
How could they do this to me? #438610,anger
That totally caught me off guard. #139866,surprise
It's incredibly disturbing. #347952,disgust
I can't sleep because of the fear. #435938,fear
I’m shocked and amazed! #559509,surprise
I can't stop smiling. #789191,joy
How could they do this to me? #943121,anger
I did not see that coming! #712495,surprise
This gives me chills down my spine. #308384,fear
I can't stop smiling. #828767,joy
This is absolutely infuriating! #234458,anger
I can't sleep because of the fear. #301024,fear
It's incredibly disturbing. #989684,disgust
It's incredibly disturbing. #767429,disgust
I can't stop smiling. #910643,joy
I’m shocked and amazed! #953250,surprise
I can't sleep because of the fear. #230978,fear
It's incredibly disturbing. #634379,disgust
I feel sick just thinking about it. #59972,disgust
I can't sleep because of the fear. #948377,fear
Life is beautiful and I'm enjoying every moment. #699622,joy
I'm disgusted by what I saw. #267793,disgust
I'm so furious about the situation. #420654,anger
I'm so furious about the situation. #304607,anger
That was utterly revolting. #808621,disgust
This is so gross I can't handle it. #961260,disgust
My heart aches with sorrow. #165736,sadness
I'm so thrilled about the news. #352261,joy
Life is beautiful and I'm enjoying every moment. #680623,joy
I can't sleep because of the fear. #488553,fear
That was utterly revolting. #672568,disgust
I can't stop smiling. #231189,joy
I can't stop smiling. #750237,joy
I'm bursting with happiness! #675728,joy
I feel empty inside. #56268,sadness
This gives me chills down my spine. #23893,fear
I'm terrified of what might happen. #231791,fear
Every little sound makes me jump. #732049,fear
My heart aches with sorrow. #558123,sadness
It's incredibly disturbing. #692082,disgust
I'm bursting with happiness! #726578,joy
I'm disgusted by what I saw. #676002,disgust
My heart aches with sorrow. #433334,sadness
I feel empty inside. #641156,sadness
This is absolutely infuriating! #25552,anger
This is the best day of my life. #396622,joy
That totally caught me off guard. #910065,surprise
Life is beautiful and I'm enjoying every moment. #876372,joy
That was utterly revolting. #5812,disgust
Every little sound makes me jump. #868231,fear
I miss the good times we had. #531282,sadness
I can't believe this happened! #591094,anger
I did not see that coming! #553978,surprise
Nothing seems to matter anymore. #369582,sadness
Every little sound makes me jump. #642429,fear
My heart aches with sorrow. #78568,sadness
I'm so scared right now. #481973,fear
I can't stop smiling. #810428,joy
That totally caught me off guard. #96999,surprise
I did not see that coming! #919517,surprise
I can't stop smiling. #243960,joy
Every little sound makes me jump. #721219,fear
"Unbelievable, but true! #901308",surprise
My heart aches with sorrow. #326616,sadness
I can't believe this happened! #400255,anger
Tears keep falling from my eyes. #929495,sadness
This is the best day of my life. #638141,joy
I can't stop smiling. #675403,joy
I can't stop smiling. #318211,joy
I'm so scared right now. #728710,fear
I'm bursting with happiness! #825849,joy
I'm bursting with happiness! #512307,joy
I can't stop smiling. #474626,joy
I'm disgusted by what I saw. #881756,disgust
I can't sleep because of the fear. #60603,fear
I did not see that coming! #730841,surprise
I miss the good times we had. #383177,sadness
My heart aches with sorrow. #680714,sadness
This is absolutely infuriating! #900361,anger
My heart aches with sorrow. #476405,sadness
This gives me chills down my spine. #247043,fear
Tears keep falling from my eyes. #875976,sadness
Life is beautiful and I'm enjoying every moment. #209520,joy
I’m shocked and amazed! #832469,surprise
I'm so thrilled about the news. #359822,joy
Nothing seems to matter anymore. #548894,sadness
This is so gross I can't handle it. #107668,disgust
I'm so scared right now. #268134,fear
I'm disgusted by what I saw. #374874,disgust
I feel sick just thinking about it. #704076,disgust
I'm so furious about the situation. #779974,anger
Nothing seems to matter anymore. #466756,sadness
I'm so furious about the situation. #336742,anger
What a pleasant surprise! #83542,surprise
This gives me chills down my spine. #523721,fear
I'm terrified of what might happen. #678373,fear
I'm so furious about the situation. #190663,anger
I’m shocked and amazed! #751883,surprise
Tears keep falling from my eyes. #767136,sadness
This gives me chills down my spine. #673763,fear
I'm so scared right now. #308041,fear
I'm so scared right now. #521949,fear
Life is beautiful and I'm enjoying every moment. #185344,joy
I'm terrified of what might happen. #434958,fear
This makes my blood boil. #624711,anger
I'm terrified of what might happen. #814826,fear
I can't believe this happened! #928249,anger
I feel sick just thinking about it. #401666,disgust
Life is beautiful and I'm enjoying every moment. #769064,joy
This is absolutely infuriating! #876522,anger
I'm disgusted by what I saw. #534126,disgust
What a pleasant surprise! #216722,surprise
Tears keep falling from my eyes. #491430,sadness
This is so gross I can't handle it. #858739,disgust
I'm terrified of what might happen. #709838,fear
This makes my blood boil. #197026,anger
This is the best day of my life. #431380,joy
I'm bursting with happiness! #931080,joy
Nothing seems to matter anymore. #290354,sadness
Tears keep falling from my eyes. #513729,sadness
My heart aches with sorrow. #523186,sadness
Nothing seems to matter anymore. #951380,sadness
This is absolutely infuriating! #117009,anger
That was utterly revolting. #879615,disgust
I feel sick just thinking about it. #593100,disgust
That was utterly revolting. #489313,disgust
I feel sick just thinking about it. #784624,disgust
I miss the good times we had. #426874,sadness
I can't sleep because of the fear. #803635,fear
That was utterly revolting. #823464,disgust
I'm bursting with happiness! #174285,joy
That was utterly revolting. #916787,disgust
My heart aches with sorrow. #43319,sadness
I'm terrified of what might happen. #354675,fear
I did not see that coming! #265278,surprise
Nothing seems to matter anymore. #94159,sadness
This makes my blood boil. #310618,anger
My heart aches with sorrow. #820154,sadness
I feel empty inside. #975758,sadness
This is absolutely infuriating! #733948,anger
My heart aches with sorrow. #171507,sadness
That totally caught me off guard. #118109,surprise
I'm so thrilled about the news. #983337,joy
I’m shocked and amazed! #625887,surprise
I can't stop smiling. #718131,joy
It's incredibly disturbing. #30067,disgust
"Unbelievable, but true! #918556",surprise
Life is beautiful and I'm enjoying every moment. #113291,joy
This gives me chills down my spine. #655560,fear
I can't sleep because of the fear. #979663,fear
This makes my blood boil. #479801,anger
I'm disgusted by what I saw. #393506,disgust
My heart aches with sorrow. #52653,sadness
Life is beautiful and I'm enjoying every moment. #641714,joy
This is absolutely infuriating! #930945,anger
This makes my blood boil. #88936,anger
I’m shocked and amazed! #646718,surprise
I'm disgusted by what I saw. #65311,disgust
I feel sick just thinking about it. #658465,disgust
I'm so thrilled about the news. #189609,joy
Tears keep falling from my eyes. #45133,sadness
How could they do this to me? #376948,anger
I'm so thrilled about the news. #271509,joy
I'm so scared right now. #833500,fear
I'm so scared right now. #523568,fear
I can't sleep because of the fear. #134487,fear
Tears keep falling from my eyes. #944496,sadness
This is absolutely infuriating! #478568,anger
I did not see that coming! #861889,surprise
Every little sound makes me jump. #599105,fear
"Unbelievable, but true! #366467",surprise
I feel empty inside. #3768,sadness
I’m shocked and amazed! #579474,surprise
I'm so thrilled about the news. #244288,joy
It's incredibly disturbing. #671785,disgust
I can't sleep because of the fear. #142040,fear
This is absolutely infuriating! #194778,anger
I'm so scared right now. #312121,fear
I'm so scared right now. #230262,fear
What a pleasant surprise! #966178,surprise
I'm so thrilled about the news. #222246,joy
I'm terrified of what might happen. #306910,fear
This is the best day of my life. #398499,joy
I'm so thrilled about the news. #857836,joy
I’m shocked and amazed! #533562,surprise
It's incredibly disturbing. #363138,disgust
That totally caught me off guard. #505196,surprise
I'm so scared right now. #416724,fear
That was utterly revolting. #58954,disgust
I did not see that coming! #460779,surprise
This gives me chills down my spine. #672044,fear
This is absolutely infuriating! #94158,anger
I'm disgusted by what I saw. #950818,disgust
I can't believe this happened! #369341,anger
I’m shocked and amazed! #438651,surprise
I can't stop smiling. #939469,joy
This is the best day of my life. #620797,joy
"Unbelievable, but true! #467404",surprise
I did not see that coming! #516258,surprise
Every little sound makes me jump. #714913,fear
I miss the good times we had. #549960,sadness
How could they do this to me? #394110,anger
I'm terrified of what might happen. #415680,fear
I'm so thrilled about the news. #980306,joy
I'm terrified of what might happen. #655212,fear
I miss the good times we had. #269677,sadness
I’m shocked and amazed! #641850,surprise
I feel empty inside. #195574,sadness
My heart aches with sorrow. #750032,sadness
I feel empty inside. #436393,sadness
"Unbelievable, but true! #887059",surprise
This is absolutely infuriating! #227070,anger
My heart aches with sorrow. #225421,sadness
I can't stop smiling. #396623,joy
This gives me chills down my spine. #402423,fear
This is absolutely infuriating! #319775,anger
Tears keep falling from my eyes. #362641,sadness
This gives me chills down my spine. #566114,fear
I did not see that coming! #507703,surprise
That was utterly revolting. #571469,disgust
I feel empty inside. #520013,sadness
I'm terrified of what might happen. #787707,fear
I'm so scared right now. #959154,fear
I can't sleep because of the fear. #65382,fear
This gives me chills down my spine. #26792,fear
It's incredibly disturbing. #697814,disgust
I can't sleep because of the fear. #447690,fear
This is absolutely infuriating! #72303,anger
I'm disgusted by what I saw. #748835,disgust
"Unbelievable, but true! #643696",surprise
It's incredibly disturbing. #439012,disgust
Tears keep falling from my eyes. #933433,sadness
"Unbelievable, but true! #766763",surprise
This gives me chills down my spine. #18714,fear
This makes my blood boil. #703585,anger
I can't believe this happened! #506111,anger
What a pleasant surprise! #865481,surprise
How could they do this to me? #592509,anger
It's incredibly disturbing. #332045,disgust
I can't stop smiling. #682597,joy
I’m shocked and amazed! #152259,surprise
Nothing seems to matter anymore. #309574,sadness
I'm disgusted by what I saw. #347157,disgust
How could they do this to me? #915381,anger
This is the best day of my life. #548544,joy
I did not see that coming! #347314,surprise
This makes my blood boil. #394558,anger
I’m shocked and amazed! #302563,surprise
I'm so scared right now. #96764,fear
Nothing seems to matter anymore. #45134,sadness
This is so gross I can't handle it. #210629,disgust
It's incredibly disturbing. #74042,disgust
I'm so scared right now. #596641,fear
I feel empty inside. #208990,sadness
This gives me chills down my spine. #233628,fear
I'm terrified of what might happen. #828569,fear
Nothing seems to matter anymore. #492866,sadness
How could they do this to me? #710036,anger
Nothing seems to matter anymore. #243683,sadness
Every little sound makes me jump. #226407,fear
This gives me chills down my spine. #375442,fear
How could they do this to me? #542790,anger
This is absolutely infuriating! #365788,anger
This is absolutely infuriating! #90882,anger
This makes my blood boil. #8557,anger
This is so gross I can't handle it. #649033,disgust
I can't sleep because of the fear. #716819,fear
I’m shocked and amazed! #228931,surprise
This is the best day of my life. #323035,joy
What a pleasant surprise! #17850,surprise
Every little sound makes me jump. #967646,fear
I feel sick just thinking about it. #523282,disgust
I can't believe this happened! #940847,anger
That totally caught me off guard. #816307,surprise
I miss the good times we had. #327493,sadness
What a pleasant surprise! #104697,surprise
This makes my blood boil. #908403,anger
